Symbol,Company,Mai_Nhunx_Lhos,Eulav
ADS.DE,Adidas,0.0317,0.0287
AIR.DE,Airbus,0.052,0.0504
ALV.DE,Allianz,0.0485,0.0396
BAS.DE,BASF,0.0347,0.0307
BAYN.DE,Bayer,0.0273,0.0259
BMW.DE,BMW,0.0303,0.0278
BNR.DE,Brenntag,0.0075,0.013
CON.DE,Continental,0.0115,0.0156
1COV.DE,Covestro,0.0064,0.0123
DAI.DE,Daimler,0.0518,0.0502
DHER.DE,Delivery Hero,0.0171,0.0192
DBK.DE,Deutsche Bank,0.014,0.0172
DB1.DE,Deutsche Börse,0.0168,0.019
DPW.DE,Deutsche Post,0.0395,0.0337
DTE.DE,Deutsche Telekom,0.0482,0.0394
DWNI.DE,Deutsche Wohnen,0.0115,0.0156
EOAN.DE,EON,0.0166,0.0189
FRE.DE,Fresenius,0.0133,0.0168
FME.DE,Fresenius Medical Care,0.0105,0.0149
HEI.DE,HeidelbergCement,0.0075,0.013
HFG.DE,HelloFresh,0.0083,0.0148
HEN3.DE,Henkel,0.0081,0.0134
IFX.DE,Infineon,0.0292,0.0271
LIN.DE,Linde,0.0953,0.07
MRK.DE,Merck,0.0149,0.0178
MTX.DE,MTU Aero Engines,0.0058,0.0119
MUV2.DE,Muenchner Rueck,0.0206,0.0215
PAH3.DE,Porsche,0.0078,0.0145
PUM.DE,Puma,0.0089,0.0139
QIA.DE,QIAGEN,0.0072,0.0128
RWE.DE,RWE,0.0129,0.0165
SAP.DE,SAP,0.0902,0.0667
SRT3.DE,Sartorius,0.0118,0.0158
SIE.DE,Siemens,0.0702,0.0537
ENR.DE,Siemens Energy,0.0103,0.0148
SHL.DE,Siemens Healthineers,0.0384,0.0393
SY1.DE,Symrise,0.0094,0.0142
VOW3.DE,Volkswagen,0.0232,0.0232
VNA.DE,Vonovia,0.0185,0.0201
ZAL.DE,Zalando,0.0123,0.0161
